Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: VDD=800m,,,,,,
1,ft_test_T22_inv_svt_test_1,ft,80.93e9,,,
1,ft_test_T22_inv_svt_test_1,cgg_nmos,4.038e-15,,,
1,ft_test_T22_inv_svt_test_1,cgg_pmos,4.328e-15,,,
1,ft_test_T22_inv_svt_test_1,cgs_nmos,2.66e-15,,,
1,ft_test_T22_inv_svt_test_1,cgs_pmos,2.815e-15,,,
1,ft_test_T22_inv_svt_test_1,cgd_nmos,1.269e-15,,,
1,ft_test_T22_inv_svt_test_1,cgd_pmos,1.441e-15,,,
1,ft_test_T22_inv_svt_test_1,vth_nmos,418.7e-3,,,
1,ft_test_T22_inv_svt_test_1,vth_pmos,414.5e-3,,,
1,ft_test_T22_inv_svt_test_1,vdsat_nmos,104.6e-3,,,
1,ft_test_T22_inv_svt_test_1,vdsat_pmos,-134.9e-3,,,
1,ft_test_T22_inv_svt_test_1,gm_nmos,5.318e-3,,,
1,ft_test_T22_inv_svt_test_1,gm_pmos,5.012e-3,,,
1,ft_test_T22_inv_svt_test_1,gds_nmos,129.6e-6,,,
1,ft_test_T22_inv_svt_test_1,gds_pmos,256.5e-6,,,
1,ft_test_T22_inv_svt_test_1,gain_nmos,41.04,,,
1,ft_test_T22_inv_svt_test_1,gain_pmos,19.54,,,
1,ft_test_T22_inv_svt_test_1,ids,252.9e-6,,,
1,ft_test_T22_inv_svt_test_1,gm_id_nmos,21.02,,,
1,ft_test_T22_inv_svt_test_1,gm_id_pmos,19.81,,,
Parameters: VDD=900m,,,,,,
2,ft_test_T22_inv_svt_test_1,ft,144.1e9,,,
2,ft_test_T22_inv_svt_test_1,cgg_nmos,4.563e-15,,,
2,ft_test_T22_inv_svt_test_1,cgg_pmos,4.737e-15,,,
2,ft_test_T22_inv_svt_test_1,cgs_nmos,3.18e-15,,,
2,ft_test_T22_inv_svt_test_1,cgs_pmos,3.225e-15,,,
2,ft_test_T22_inv_svt_test_1,cgd_nmos,1.275e-15,,,
2,ft_test_T22_inv_svt_test_1,cgd_pmos,1.44e-15,,,
2,ft_test_T22_inv_svt_test_1,vth_nmos,417.9e-3,,,
2,ft_test_T22_inv_svt_test_1,vth_pmos,412.3e-3,,,
2,ft_test_T22_inv_svt_test_1,vdsat_nmos,116.7e-3,,,
2,ft_test_T22_inv_svt_test_1,vdsat_pmos,-155.5e-3,,,
2,ft_test_T22_inv_svt_test_1,gm_nmos,9.914e-3,,,
2,ft_test_T22_inv_svt_test_1,gm_pmos,9.476e-3,,,
2,ft_test_T22_inv_svt_test_1,gds_nmos,260.7e-6,,,
2,ft_test_T22_inv_svt_test_1,gds_pmos,487.4e-6,,,
2,ft_test_T22_inv_svt_test_1,gain_nmos,38.03,,,
2,ft_test_T22_inv_svt_test_1,gain_pmos,19.44,,,
2,ft_test_T22_inv_svt_test_1,ids,622e-6,,,
2,ft_test_T22_inv_svt_test_1,gm_id_nmos,15.94,,,
2,ft_test_T22_inv_svt_test_1,gm_id_pmos,15.24,,,
Parameters: VDD=1,,,,,,
3,ft_test_T22_inv_svt_test_1,ft,202.1e9,,,
3,ft_test_T22_inv_svt_test_1,cgg_nmos,5.032e-15,,,
3,ft_test_T22_inv_svt_test_1,cgg_pmos,5.117e-15,,,
3,ft_test_T22_inv_svt_test_1,cgs_nmos,3.643e-15,,,
3,ft_test_T22_inv_svt_test_1,cgs_pmos,3.601e-15,,,
3,ft_test_T22_inv_svt_test_1,cgd_nmos,1.28e-15,,,
3,ft_test_T22_inv_svt_test_1,cgd_pmos,1.443e-15,,,
3,ft_test_T22_inv_svt_test_1,vth_nmos,417e-3,,,
3,ft_test_T22_inv_svt_test_1,vth_pmos,409.9e-3,,,
3,ft_test_T22_inv_svt_test_1,vdsat_nmos,128.2e-3,,,
3,ft_test_T22_inv_svt_test_1,vdsat_pmos,-175e-3,,,
3,ft_test_T22_inv_svt_test_1,gm_nmos,14.45e-3,,,
3,ft_test_T22_inv_svt_test_1,gm_pmos,14.14e-3,,,
