Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: VDD=800m,,,,,,
1,ft_test_T22_inv_svt_test_1,ft,251e9,,,
1,ft_test_T22_inv_svt_test_1,cgg_nmos,5.395e-15,,,
1,ft_test_T22_inv_svt_test_1,cgg_pmos,5.572e-15,,,
1,ft_test_T22_inv_svt_test_1,cgs_nmos,3.902e-15,,,
1,ft_test_T22_inv_svt_test_1,cgs_pmos,3.95e-15,,,
1,ft_test_T22_inv_svt_test_1,cgd_nmos,1.393e-15,,,
1,ft_test_T22_inv_svt_test_1,cgd_pmos,1.542e-15,,,
1,ft_test_T22_inv_svt_test_1,vth_nmos,283.8e-3,,,
1,ft_test_T22_inv_svt_test_1,vth_pmos,263.5e-3,,,
1,ft_test_T22_inv_svt_test_1,vdsat_nmos,144.8e-3,,,
1,ft_test_T22_inv_svt_test_1,vdsat_pmos,-158.8e-3,,,
1,ft_test_T22_inv_svt_test_1,gm_nmos,17.96e-3,,,
1,ft_test_T22_inv_svt_test_1,gm_pmos,18.29e-3,,,
1,ft_test_T22_inv_svt_test_1,gds_nmos,746.3e-6,,,
1,ft_test_T22_inv_svt_test_1,gds_pmos,1.424e-3,,,
1,ft_test_T22_inv_svt_test_1,gain_nmos,24.07,,,
1,ft_test_T22_inv_svt_test_1,gain_pmos,12.84,,,
1,ft_test_T22_inv_svt_test_1,ids,2.043e-3,,,
1,ft_test_T22_inv_svt_test_1,gm_id_nmos,8.792,,,
1,ft_test_T22_inv_svt_test_1,gm_id_pmos,8.951,,,
Parameters: VDD=900m,,,,,,
2,ft_test_T22_inv_svt_test_1,ft,274.4e9,,,
2,ft_test_T22_inv_svt_test_1,cgg_nmos,5.716e-15,,,
2,ft_test_T22_inv_svt_test_1,cgg_pmos,5.908e-15,,,
2,ft_test_T22_inv_svt_test_1,cgs_nmos,4.222e-15,,,
2,ft_test_T22_inv_svt_test_1,cgs_pmos,4.273e-15,,,
2,ft_test_T22_inv_svt_test_1,cgd_nmos,1.392e-15,,,
2,ft_test_T22_inv_svt_test_1,cgd_pmos,1.554e-15,,,
2,ft_test_T22_inv_svt_test_1,vth_nmos,282.1e-3,,,
2,ft_test_T22_inv_svt_test_1,vth_pmos,260.6e-3,,,
2,ft_test_T22_inv_svt_test_1,vdsat_nmos,157.9e-3,,,
2,ft_test_T22_inv_svt_test_1,vdsat_pmos,-175.4e-3,,,
2,ft_test_T22_inv_svt_test_1,gm_nmos,20.24e-3,,,
2,ft_test_T22_inv_svt_test_1,gm_pmos,20.63e-3,,,
2,ft_test_T22_inv_svt_test_1,gds_nmos,922.4e-6,,,
2,ft_test_T22_inv_svt_test_1,gds_pmos,1.742e-3,,,
2,ft_test_T22_inv_svt_test_1,gain_nmos,21.95,,,
2,ft_test_T22_inv_svt_test_1,gain_pmos,11.84,,,
2,ft_test_T22_inv_svt_test_1,ids,2.963e-3,,,
2,ft_test_T22_inv_svt_test_1,gm_id_nmos,6.831,,,
2,ft_test_T22_inv_svt_test_1,gm_id_pmos,6.962,,,
Parameters: VDD=1,,,,,,
3,ft_test_T22_inv_svt_test_1,ft,288.3e9,,,
3,ft_test_T22_inv_svt_test_1,cgg_nmos,5.971e-15,,,
3,ft_test_T22_inv_svt_test_1,cgg_pmos,6.173e-15,,,
3,ft_test_T22_inv_svt_test_1,cgs_nmos,4.485e-15,,,
3,ft_test_T22_inv_svt_test_1,cgs_pmos,4.528e-15,,,
3,ft_test_T22_inv_svt_test_1,cgd_nmos,1.384e-15,,,
3,ft_test_T22_inv_svt_test_1,cgd_pmos,1.565e-15,,,
3,ft_test_T22_inv_svt_test_1,vth_nmos,280.1e-3,,,
3,ft_test_T22_inv_svt_test_1,vth_pmos,257.2e-3,,,
3,ft_test_T22_inv_svt_test_1,vdsat_nmos,170.9e-3,,,
3,ft_test_T22_inv_svt_test_1,vdsat_pmos,-191.7e-3,,,
3,ft_test_T22_inv_svt_test_1,gm_nmos,21.87e-3,,,
3,ft_test_T22_inv_svt_test_1,gm_pmos,22.25e-3,,,
3,ft_test_T22_inv_svt_test_1,gds_nmos,1.081e-3,,,
3,ft_test_T22_inv_svt_test_1,gds_pmos,2.027e-3,,,
3,ft_test_T22_inv_svt_test_1,gain_nmos,20.22,,,
3,ft_test_T22_inv_svt_test_1,gain_pmos,10.98,,,
3,ft_test_T22_inv_svt_test_1,ids,3.965e-3,,,
3,ft_test_T22_inv_svt_test_1,gm_id_nmos,5.515,,,
3,ft_test_T22_inv_svt_test_1,gm_id_pmos,5.612,,,
Parameters: VDD=1.1,,,,,,
4,ft_test_T22_inv_svt_test_1,ft,296e9,,,
4,ft_test_T22_inv_svt_test_1,cgg_nmos,6.175e-15,,,
4,ft_test_T22_inv_svt_test_1,cgg_pmos,6.385e-15,,,
4,ft_test_T22_inv_svt_test_1,cgs_nmos,4.702e-15,,,
4,ft_test_T22_inv_svt_test_1,cgs_pmos,4.729e-15,,,
4,ft_test_T22_inv_svt_test_1,cgd_nmos,1.372e-15,,,
4,ft_test_T22_inv_svt_test_1,cgd_pmos,1.576e-15,,,
4,ft_test_T22_inv_svt_test_1,vth_nmos,277.8e-3,,,
4,ft_test_T22_inv_svt_test_1,vth_pmos,253.4e-3,,,
4,ft_test_T22_inv_svt_test_1,vdsat_nmos,183.9e-3,,,
4,ft_test_T22_inv_svt_test_1,vdsat_pmos,-208e-3,,,
4,ft_test_T22_inv_svt_test_1,gm_nmos,22.96e-3,,,
4,ft_test_T22_inv_svt_test_1,gm_pmos,23.34e-3,,,
4,ft_test_T22_inv_svt_test_1,gds_nmos,1.223e-3,,,
