Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_nmos_svt_test_1,ft,152.2e9,,,
1,ft_test_T12_nmos_svt_test_1,cgg,4.203e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgs,2.909e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgd,1.193e-15,,,
1,ft_test_T12_nmos_svt_test_1,vth,283.7e-3,,,
1,ft_test_T12_nmos_svt_test_1,vdsat,113.6e-3,,,
1,ft_test_T12_nmos_svt_test_1,gm,9.469e-3,,,
1,ft_test_T12_nmos_svt_test_1,gds,229e-6,,,
1,ft_test_T12_nmos_svt_test_1,gain,41.35,,,
1,ft_test_T12_nmos_svt_test_1,ids,556.8e-6,,,
1,ft_test_T12_nmos_svt_test_1,gm_id,17.01,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_nmos_svt_test_1,ft,217.1e9,,,
2,ft_test_T12_nmos_svt_test_1,cgg,4.728e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgs,3.386e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgd,1.241e-15,,,
2,ft_test_T12_nmos_svt_test_1,vth,283.2e-3,,,
2,ft_test_T12_nmos_svt_test_1,vdsat,128.3e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm,14.17e-3,,,
2,ft_test_T12_nmos_svt_test_1,gds,394e-6,,,
2,ft_test_T12_nmos_svt_test_1,gain,35.96,,,
2,ft_test_T12_nmos_svt_test_1,ids,1.122e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm_id,12.63,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_nmos_svt_test_1,ft,257.7e9,,,
3,ft_test_T12_nmos_svt_test_1,cgg,5.199e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgs,3.806e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgd,1.293e-15,,,
3,ft_test_T12_nmos_svt_test_1,vth,282.6e-3,,,
3,ft_test_T12_nmos_svt_test_1,vdsat,142e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm,17.54e-3,,,
3,ft_test_T12_nmos_svt_test_1,gds,586e-6,,,
3,ft_test_T12_nmos_svt_test_1,gain,29.94,,,
3,ft_test_T12_nmos_svt_test_1,ids,1.863e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm_id,9.414,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_nmos_svt_test_1,ft,280.2e9,,,
4,ft_test_T12_nmos_svt_test_1,cgg,5.592e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgs,4.144e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgd,1.348e-15,,,
4,ft_test_T12_nmos_svt_test_1,vth,281.9e-3,,,
4,ft_test_T12_nmos_svt_test_1,vdsat,154.8e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm,19.8e-3,,,
4,ft_test_T12_nmos_svt_test_1,gds,807.8e-6,,,
4,ft_test_T12_nmos_svt_test_1,gain,24.51,,,
4,ft_test_T12_nmos_svt_test_1,ids,2.716e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm_id,7.29,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_nmos_svt_test_1,ft,293.6e9,,,
5,ft_test_T12_nmos_svt_test_1,cgg,5.914e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgs,4.404e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgd,1.41e-15,,,
5,ft_test_T12_nmos_svt_test_1,vth,281.1e-3,,,
5,ft_test_T12_nmos_svt_test_1,vdsat,166.8e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm,21.36e-3,,,
5,ft_test_T12_nmos_svt_test_1,gds,1.074e-3,,,
5,ft_test_T12_nmos_svt_test_1,gain,19.9,,,
5,ft_test_T12_nmos_svt_test_1,ids,3.638e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm_id,5.872,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_nmos_svt_test_1,ft,300.8e9,,,
6,ft_test_T12_nmos_svt_test_1,cgg,6.186e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgs,4.603e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgd,1.481e-15,,,
6,ft_test_T12_nmos_svt_test_1,vth,280.2e-3,,,
6,ft_test_T12_nmos_svt_test_1,vdsat,178.3e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm,22.4e-3,,,
6,ft_test_T12_nmos_svt_test_1,gds,1.396e-3,,,
6,ft_test_T12_nmos_svt_test_1,gain,16.05,,,
6,ft_test_T12_nmos_svt_test_1,ids,4.602e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm_id,4.867,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T12_nmos_svt_test_1,ft,302.1e9,,,
7,ft_test_T12_nmos_svt_test_1,cgg,6.423e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgs,4.758e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgd,1.564e-15,,,
7,ft_test_T12_nmos_svt_test_1,vth,279.3e-3,,,
7,ft_test_T12_nmos_svt_test_1,vdsat,189.5e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm,23.01e-3,,,
7,ft_test_T12_nmos_svt_test_1,gds,1.786e-3,,,
7,ft_test_T12_nmos_svt_test_1,gain,12.88,,,
7,ft_test_T12_nmos_svt_test_1,ids,5.587e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm_id,4.119,,,
"Parameters: VDS=500m, VGS=650m",,,,,,
8,ft_test_T12_nmos_svt_test_1,ft,298.9e9,,,
8,ft_test_T12_nmos_svt_test_1,cgg,6.638e-15,,,
8,ft_test_T12_nmos_svt_test_1,cgs,4.88e-15,,,
8,ft_test_T12_nmos_svt_test_1,cgd,1.657e-15,,,
8,ft_test_T12_nmos_svt_test_1,vth,278.5e-3,,,
8,ft_test_T12_nmos_svt_test_1,vdsat,200.5e-3,,,
8,ft_test_T12_nmos_svt_test_1,gm,23.27e-3,,,
8,ft_test_T12_nmos_svt_test_1,gds,2.256e-3,,,
8,ft_test_T12_nmos_svt_test_1,gain,10.32,,,
8,ft_test_T12_nmos_svt_test_1,ids,6.575e-3,,,
8,ft_test_T12_nmos_svt_test_1,gm_id,3.539,,,
"Parameters: VDS=500m, VGS=700m",,,,,,
9,ft_test_T12_nmos_svt_test_1,ft,291.9e9,,,
9,ft_test_T12_nmos_svt_test_1,cgg,6.836e-15,,,
9,ft_test_T12_nmos_svt_test_1,cgs,4.978e-15,,,
9,ft_test_T12_nmos_svt_test_1,cgd,1.757e-15,,,
9,ft_test_T12_nmos_svt_test_1,vth,277.6e-3,,,
9,ft_test_T12_nmos_svt_test_1,vdsat,211.4e-3,,,
9,ft_test_T12_nmos_svt_test_1,gm,23.25e-3,,,
9,ft_test_T12_nmos_svt_test_1,gds,2.814e-3,,,
9,ft_test_T12_nmos_svt_test_1,gain,8.261,,,
9,ft_test_T12_nmos_svt_test_1,ids,7.554e-3,,,
9,ft_test_T12_nmos_svt_test_1,gm_id,3.078,,,
"Parameters: VDS=500m, VGS=750m",,,,,,
10,ft_test_T12_nmos_svt_test_1,ft,283e9,,,
10,ft_test_T12_nmos_svt_test_1,cgg,7.016e-15,,,
10,ft_test_T12_nmos_svt_test_1,cgs,5.055e-15,,,
10,ft_test_T12_nmos_svt_test_1,cgd,1.86e-15,,,
10,ft_test_T12_nmos_svt_test_1,vth,276.7e-3,,,
10,ft_test_T12_nmos_svt_test_1,vdsat,222.3e-3,,,
10,ft_test_T12_nmos_svt_test_1,gm,23e-3,,,
10,ft_test_T12_nmos_svt_test_1,gds,3.47e-3,,,
10,ft_test_T12_nmos_svt_test_1,gain,6.627,,,
10,ft_test_T12_nmos_svt_test_1,ids,8.514e-3,,,
10,ft_test_T12_nmos_svt_test_1,gm_id,2.701,,,
"Parameters: VDS=500m, VGS=800m",,,,,,
11,ft_test_T12_nmos_svt_test_1,ft,273e9,,,
11,ft_test_T12_nmos_svt_test_1,cgg,7.179e-15,,,
11,ft_test_T12_nmos_svt_test_1,cgs,5.117e-15,,,
11,ft_test_T12_nmos_svt_test_1,cgd,1.96e-15,,,
11,ft_test_T12_nmos_svt_test_1,vth,275.8e-3,,,
11,ft_test_T12_nmos_svt_test_1,vdsat,233.1e-3,,,
11,ft_test_T12_nmos_svt_test_1,gm,22.57e-3,,,
11,ft_test_T12_nmos_svt_test_1,gds,4.229e-3,,,
11,ft_test_T12_nmos_svt_test_1,gain,5.336,,,
11,ft_test_T12_nmos_svt_test_1,ids,9.445e-3,,,
11,ft_test_T12_nmos_svt_test_1,gm_id,2.389,,,
"Parameters: VDS=600m, VGS=300m",,,,,,
12,ft_test_T12_nmos_svt_test_1,ft,158e9,,,
12,ft_test_T12_nmos_svt_test_1,cgg,4.127e-15,,,
12,ft_test_T12_nmos_svt_test_1,cgs,2.897e-15,,,
12,ft_test_T12_nmos_svt_test_1,cgd,1.129e-15,,,
12,ft_test_T12_nmos_svt_test_1,vth,282e-3,,,
12,ft_test_T12_nmos_svt_test_1,vdsat,114.3e-3,,,
12,ft_test_T12_nmos_svt_test_1,gm,9.754e-3,,,
12,ft_test_T12_nmos_svt_test_1,gds,219.4e-6,,,
12,ft_test_T12_nmos_svt_test_1,gain,44.46,,,
12,ft_test_T12_nmos_svt_test_1,ids,580.3e-6,,,
12,ft_test_T12_nmos_svt_test_1,gm_id,16.81,,,
"Parameters: VDS=600m, VGS=350m",,,,,,
13,ft_test_T12_nmos_svt_test_1,ft,223.5e9,,,
13,ft_test_T12_nmos_svt_test_1,cgg,4.651e-15,,,
13,ft_test_T12_nmos_svt_test_1,cgs,3.385e-15,,,
13,ft_test_T12_nmos_svt_test_1,cgd,1.165e-15,,,
13,ft_test_T12_nmos_svt_test_1,vth,281.4e-3,,,
13,ft_test_T12_nmos_svt_test_1,vdsat,129.2e-3,,,
13,ft_test_T12_nmos_svt_test_1,gm,14.49e-3,,,
13,ft_test_T12_nmos_svt_test_1,gds,363.1e-6,,,
13,ft_test_T12_nmos_svt_test_1,gain,39.91,,,
13,ft_test_T12_nmos_svt_test_1,ids,1.162e-3,,,
13,ft_test_T12_nmos_svt_test_1,gm_id,12.47,,,
"Parameters: VDS=600m, VGS=400m",,,,,,
14,ft_test_T12_nmos_svt_test_1,ft,264.1e9,,,
14,ft_test_T12_nmos_svt_test_1,cgg,5.123e-15,,,
14,ft_test_T12_nmos_svt_test_1,cgs,3.821e-15,,,
14,ft_test_T12_nmos_svt_test_1,cgd,1.201e-15,,,
14,ft_test_T12_nmos_svt_test_1,vth,280.6e-3,,,
14,ft_test_T12_nmos_svt_test_1,vdsat,143.2e-3,,,
14,ft_test_T12_nmos_svt_test_1,gm,17.86e-3,,,
14,ft_test_T12_nmos_svt_test_1,gds,518.1e-6,,,
14,ft_test_T12_nmos_svt_test_1,gain,34.47,,,
14,ft_test_T12_nmos_svt_test_1,ids,1.92e-3,,,
14,ft_test_T12_nmos_svt_test_1,gm_id,9.301,,,
"Parameters: VDS=600m, VGS=450m",,,,,,
15,ft_test_T12_nmos_svt_test_1,ft,286.2e9,,,
15,ft_test_T12_nmos_svt_test_1,cgg,5.512e-15,,,
15,ft_test_T12_nmos_svt_test_1,cgs,4.173e-15,,,
15,ft_test_T12_nmos_svt_test_1,cgd,1.238e-15,,,
15,ft_test_T12_nmos_svt_test_1,vth,279.7e-3,,,
15,ft_test_T12_nmos_svt_test_1,vdsat,156.3e-3,,,
15,ft_test_T12_nmos_svt_test_1,gm,20.12e-3,,,
15,ft_test_T12_nmos_svt_test_1,gds,686.8e-6,,,
15,ft_test_T12_nmos_svt_test_1,gain,29.29,,,
15,ft_test_T12_nmos_svt_test_1,ids,2.789e-3,,,
15,ft_test_T12_nmos_svt_test_1,gm_id,7.212,,,
"Parameters: VDS=600m, VGS=500m",,,,,,
16,ft_test_T12_nmos_svt_test_1,ft,301.4e9,,,
16,ft_test_T12_nmos_svt_test_1,cgg,5.825e-15,,,
16,ft_test_T12_nmos_svt_test_1,cgs,4.443e-15,,,
16,ft_test_T12_nmos_svt_test_1,cgd,1.28e-15,,,
16,ft_test_T12_nmos_svt_test_1,vth,278.7e-3,,,
16,ft_test_T12_nmos_svt_test_1,vdsat,168.8e-3,,,
16,ft_test_T12_nmos_svt_test_1,gm,21.69e-3,,,
16,ft_test_T12_nmos_svt_test_1,gds,878.4e-6,,,
16,ft_test_T12_nmos_svt_test_1,gain,24.69,,,
16,ft_test_T12_nmos_svt_test_1,ids,3.728e-3,,,
16,ft_test_T12_nmos_svt_test_1,gm_id,5.817,,,
"Parameters: VDS=600m, VGS=550m",,,,,,
17,ft_test_T12_nmos_svt_test_1,ft,309.1e9,,,
17,ft_test_T12_nmos_svt_test_1,cgg,6.082e-15,,,
17,ft_test_T12_nmos_svt_test_1,cgs,4.651e-15,,,
17,ft_test_T12_nmos_svt_test_1,cgd,1.33e-15,,,
17,ft_test_T12_nmos_svt_test_1,vth,277.6e-3,,,
17,ft_test_T12_nmos_svt_test_1,vdsat,180.8e-3,,,
17,ft_test_T12_nmos_svt_test_1,gm,22.73e-3,,,
17,ft_test_T12_nmos_svt_test_1,gds,1.1e-3,,,
17,ft_test_T12_nmos_svt_test_1,gain,20.67,,,
17,ft_test_T12_nmos_svt_test_1,ids,4.708e-3,,,
