Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_pmos_svt_test_1,ft,193.8e9,,,
1,ft_test_T12_pmos_svt_test_1,cgg,4.572e-15,,,
1,ft_test_T12_pmos_svt_test_1,cgs,3.217e-15,,,
1,ft_test_T12_pmos_svt_test_1,cgd,1.275e-15,,,
1,ft_test_T12_pmos_svt_test_1,vth,258.7e-3,,,
1,ft_test_T12_pmos_svt_test_1,vdsat,132e-3,,,
1,ft_test_T12_pmos_svt_test_1,gm,12.96e-3,,,
1,ft_test_T12_pmos_svt_test_1,gds,666.9e-6,,,
1,ft_test_T12_pmos_svt_test_1,gain,19.43,,,
1,ft_test_T12_pmos_svt_test_1,ids,921.4e-6,,,
1,ft_test_T12_pmos_svt_test_1,gm_id,14.06,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_pmos_svt_test_1,ft,241.1e9,,,
2,ft_test_T12_pmos_svt_test_1,cgg,5.077e-15,,,
2,ft_test_T12_pmos_svt_test_1,cgs,3.676e-15,,,
2,ft_test_T12_pmos_svt_test_1,cgd,1.32e-15,,,
2,ft_test_T12_pmos_svt_test_1,vth,258e-3,,,
2,ft_test_T12_pmos_svt_test_1,vdsat,149.2e-3,,,
2,ft_test_T12_pmos_svt_test_1,gm,17.1e-3,,,
2,ft_test_T12_pmos_svt_test_1,gds,962.7e-6,,,
2,ft_test_T12_pmos_svt_test_1,gain,17.77,,,
2,ft_test_T12_pmos_svt_test_1,ids,1.618e-3,,,
2,ft_test_T12_pmos_svt_test_1,gm_id,10.57,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_pmos_svt_test_1,ft,266.8e9,,,
3,ft_test_T12_pmos_svt_test_1,cgg,5.525e-15,,,
3,ft_test_T12_pmos_svt_test_1,cgs,4.066e-15,,,
3,ft_test_T12_pmos_svt_test_1,cgd,1.379e-15,,,
3,ft_test_T12_pmos_svt_test_1,vth,257.2e-3,,,
3,ft_test_T12_pmos_svt_test_1,vdsat,165.7e-3,,,
3,ft_test_T12_pmos_svt_test_1,gm,19.85e-3,,,
3,ft_test_T12_pmos_svt_test_1,gds,1.265e-3,,,
3,ft_test_T12_pmos_svt_test_1,gain,15.68,,,
3,ft_test_T12_pmos_svt_test_1,ids,2.451e-3,,,
3,ft_test_T12_pmos_svt_test_1,gm_id,8.097,,,
