Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T22_nmos_svt_test_1,ft,33.69e9,,,
1,ft_test_T22_nmos_svt_test_1,cgg,5.053e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgs,2.662e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgd,1.926e-15,,,
1,ft_test_T22_nmos_svt_test_1,vth,326.3e-3,,,
1,ft_test_T22_nmos_svt_test_1,vdsat,100.9e-3,,,
1,ft_test_T22_nmos_svt_test_1,gm,2.018e-3,,,
1,ft_test_T22_nmos_svt_test_1,gds,179.1e-6,,,
1,ft_test_T22_nmos_svt_test_1,gain,11.26,,,
1,ft_test_T22_nmos_svt_test_1,ids,102.4e-6,,,
1,ft_test_T22_nmos_svt_test_1,gm_id,19.69,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T22_nmos_svt_test_1,ft,63.28e9,,,
2,ft_test_T22_nmos_svt_test_1,cgg,5.584e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgs,3.217e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgd,1.955e-15,,,
2,ft_test_T22_nmos_svt_test_1,vth,326.4e-3,,,
2,ft_test_T22_nmos_svt_test_1,vdsat,110.8e-3,,,
2,ft_test_T22_nmos_svt_test_1,gm,4.043e-3,,,
2,ft_test_T22_nmos_svt_test_1,gds,364.8e-6,,,
2,ft_test_T22_nmos_svt_test_1,gain,11.08,,,
2,ft_test_T22_nmos_svt_test_1,ids,248.8e-6,,,
2,ft_test_T22_nmos_svt_test_1,gm_id,16.25,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T22_nmos_svt_test_1,ft,101.5e9,,,
3,ft_test_T22_nmos_svt_test_1,cgg,6.087e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgs,3.732e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgd,1.992e-15,,,
3,ft_test_T22_nmos_svt_test_1,vth,326.6e-3,,,
3,ft_test_T22_nmos_svt_test_1,vdsat,125.2e-3,,,
3,ft_test_T22_nmos_svt_test_1,gm,6.73e-3,,,
3,ft_test_T22_nmos_svt_test_1,gds,621.5e-6,,,
3,ft_test_T22_nmos_svt_test_1,gain,10.83,,,
3,ft_test_T22_nmos_svt_test_1,ids,510.2e-6,,,
3,ft_test_T22_nmos_svt_test_1,gm_id,13.19,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T22_nmos_svt_test_1,ft,140.4e9,,,
4,ft_test_T22_nmos_svt_test_1,cgg,6.496e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgs,4.136e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgd,2.035e-15,,,
4,ft_test_T22_nmos_svt_test_1,vth,326.9e-3,,,
4,ft_test_T22_nmos_svt_test_1,vdsat,142.9e-3,,,
4,ft_test_T22_nmos_svt_test_1,gm,9.693e-3,,,
4,ft_test_T22_nmos_svt_test_1,gds,924.8e-6,,,
4,ft_test_T22_nmos_svt_test_1,gain,10.48,,,
4,ft_test_T22_nmos_svt_test_1,ids,907.1e-6,,,
4,ft_test_T22_nmos_svt_test_1,gm_id,10.69,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T22_nmos_svt_test_1,ft,175.3e9,,,
5,ft_test_T22_nmos_svt_test_1,cgg,6.826e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgs,4.451e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgd,2.081e-15,,,
5,ft_test_T22_nmos_svt_test_1,vth,327.3e-3,,,
5,ft_test_T22_nmos_svt_test_1,vdsat,162.5e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm,12.51e-3,,,
5,ft_test_T22_nmos_svt_test_1,gds,1.25e-3,,,
5,ft_test_T22_nmos_svt_test_1,gain,10.01,,,
5,ft_test_T22_nmos_svt_test_1,ids,1.439e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm_id,8.692,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T22_nmos_svt_test_1,ft,202.5e9,,,
6,ft_test_T22_nmos_svt_test_1,cgg,7.099e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgs,4.702e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgd,2.131e-15,,,
6,ft_test_T22_nmos_svt_test_1,vth,327.8e-3,,,
6,ft_test_T22_nmos_svt_test_1,vdsat,183.1e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm,14.85e-3,,,
6,ft_test_T22_nmos_svt_test_1,gds,1.584e-3,,,
6,ft_test_T22_nmos_svt_test_1,gain,9.373,,,
6,ft_test_T22_nmos_svt_test_1,ids,2.088e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm_id,7.109,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T22_nmos_svt_test_1,ft,219.7e9,,,
7,ft_test_T22_nmos_svt_test_1,cgg,7.335e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgs,4.907e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgd,2.186e-15,,,
7,ft_test_T22_nmos_svt_test_1,vth,328.4e-3,,,
7,ft_test_T22_nmos_svt_test_1,vdsat,204.4e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm,16.54e-3,,,
7,ft_test_T22_nmos_svt_test_1,gds,1.927e-3,,,
7,ft_test_T22_nmos_svt_test_1,gain,8.586,,,
7,ft_test_T22_nmos_svt_test_1,ids,2.827e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm_id,5.852,,,
"Parameters: VDS=500m, VGS=650m",,,,,,
8,ft_test_T22_nmos_svt_test_1,ft,229.7e9,,,
8,ft_test_T22_nmos_svt_test_1,cgg,7.544e-15,,,
8,ft_test_T22_nmos_svt_test_1,cgs,5.076e-15,,,
8,ft_test_T22_nmos_svt_test_1,cgd,2.247e-15,,,
8,ft_test_T22_nmos_svt_test_1,vth,329e-3,,,
