Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T22_nmos_svt_test_1,ft,14.37e9,,,
1,ft_test_T22_nmos_svt_test_1,cgg,5.084e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgs,2.476e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgd,2.08e-15,,,
1,ft_test_T22_nmos_svt_test_1,vth,381.4e-3,,,
1,ft_test_T22_nmos_svt_test_1,vdsat,97.96e-3,,,
1,ft_test_T22_nmos_svt_test_1,gm,854.5e-6,,,
1,ft_test_T22_nmos_svt_test_1,gds,80.33e-6,,,
1,ft_test_T22_nmos_svt_test_1,gain,10.64,,,
1,ft_test_T22_nmos_svt_test_1,ids,38.66e-6,,,
1,ft_test_T22_nmos_svt_test_1,gm_id,22.1,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T22_nmos_svt_test_1,ft,34.63e9,,,
2,ft_test_T22_nmos_svt_test_1,cgg,5.286e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgs,2.664e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgd,2.125e-15,,,
2,ft_test_T22_nmos_svt_test_1,vth,381.5e-3,,,
2,ft_test_T22_nmos_svt_test_1,vdsat,101.4e-3,,,
2,ft_test_T22_nmos_svt_test_1,gm,2.089e-3,,,
2,ft_test_T22_nmos_svt_test_1,gds,196.4e-6,,,
2,ft_test_T22_nmos_svt_test_1,gain,10.64,,,
2,ft_test_T22_nmos_svt_test_1,ids,108.4e-6,,,
2,ft_test_T22_nmos_svt_test_1,gm_id,19.27,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T22_nmos_svt_test_1,ft,65.88e9,,,
3,ft_test_T22_nmos_svt_test_1,cgg,5.782e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgs,3.173e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgd,2.174e-15,,,
3,ft_test_T22_nmos_svt_test_1,vth,381.6e-3,,,
3,ft_test_T22_nmos_svt_test_1,vdsat,108.6e-3,,,
3,ft_test_T22_nmos_svt_test_1,gm,4.199e-3,,,
3,ft_test_T22_nmos_svt_test_1,gds,396.9e-6,,,
3,ft_test_T22_nmos_svt_test_1,gain,10.58,,,
3,ft_test_T22_nmos_svt_test_1,ids,260.3e-6,,,
3,ft_test_T22_nmos_svt_test_1,gm_id,16.13,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T22_nmos_svt_test_1,ft,104.1e9,,,
4,ft_test_T22_nmos_svt_test_1,cgg,6.414e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgs,3.825e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgd,2.225e-15,,,
4,ft_test_T22_nmos_svt_test_1,vth,381.8e-3,,,
4,ft_test_T22_nmos_svt_test_1,vdsat,120e-3,,,
4,ft_test_T22_nmos_svt_test_1,gm,6.98e-3,,,
4,ft_test_T22_nmos_svt_test_1,gds,668.9e-6,,,
4,ft_test_T22_nmos_svt_test_1,gain,10.43,,,
4,ft_test_T22_nmos_svt_test_1,ids,532.3e-6,,,
4,ft_test_T22_nmos_svt_test_1,gm_id,13.11,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T22_nmos_svt_test_1,ft,141.5e9,,,
5,ft_test_T22_nmos_svt_test_1,cgg,6.913e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgs,4.326e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgd,2.276e-15,,,
5,ft_test_T22_nmos_svt_test_1,vth,382e-3,,,
5,ft_test_T22_nmos_svt_test_1,vdsat,134.5e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm,9.942e-3,,,
5,ft_test_T22_nmos_svt_test_1,gds,976.4e-6,,,
5,ft_test_T22_nmos_svt_test_1,gain,10.18,,,
5,ft_test_T22_nmos_svt_test_1,ids,943e-6,,,
5,ft_test_T22_nmos_svt_test_1,gm_id,10.54,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T22_nmos_svt_test_1,ft,174e9,,,
6,ft_test_T22_nmos_svt_test_1,cgg,7.261e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgs,4.663e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgd,2.322e-15,,,
6,ft_test_T22_nmos_svt_test_1,vth,382.4e-3,,,
6,ft_test_T22_nmos_svt_test_1,vdsat,151.3e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm,12.63e-3,,,
6,ft_test_T22_nmos_svt_test_1,gds,1.287e-3,,,
6,ft_test_T22_nmos_svt_test_1,gain,9.814,,,
6,ft_test_T22_nmos_svt_test_1,ids,1.487e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm_id,8.495,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T22_nmos_svt_test_1,ft,198.8e9,,,
7,ft_test_T22_nmos_svt_test_1,cgg,7.505e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgs,4.894e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgd,2.359e-15,,,
7,ft_test_T22_nmos_svt_test_1,vth,382.8e-3,,,
7,ft_test_T22_nmos_svt_test_1,vdsat,169.5e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm,14.77e-3,,,
7,ft_test_T22_nmos_svt_test_1,gds,1.583e-3,,,
7,ft_test_T22_nmos_svt_test_1,gain,9.33,,,
7,ft_test_T22_nmos_svt_test_1,ids,2.141e-3,,,
